18,47,1
35,8,0
46,27,0
16,113,1
62,98,1
76,111,1
116,77,0
118,121,0
58,15,0
79,17,0
117,2,1
1,23,1
3,41,1
7,51,1
21,93,1
61,109,1
55,124,1
76,101,0
113,125,1
120,75,1
77,84,0
91,51,0
102,51,1
105,81,0
119,49,0
83,74,0
100,40,0
109,71,1
125,20,0
0,126,1
1,67,1
18,77,0
33,59,1
49,78,0
15,62,1
47,44,0
52,118,1
52,123,0
27,21,1
30,61,0
46,47,0
64,46,0
96,32,1
38,93,1
69,117,0
6,125,0
13,125,0
21,109,0
1,127,0
12,80,1
14,82,0
66,85,1
25,70,1
30,48,1
43,84,0
52,71,1
73,95,1
90,16,0
93,10,1
97,17,0
119,12,1
126,0,1
127,5,0
5,112,1
6,114,0
53,118,0
63,109,1
96,88,0
112,103,1
67,48,1
70,30,0
85,30,1
108,13,0
33,51,0
69,35,1
33,74,0
50,74,0
74,72,1
78,57,0
21,113,0
38,90,0
50,110,0
79,74,1
33,66,1
55,44,1
61,49,1
64,81,1
34,65,0
70,109,0
75,52,0
17,125,0
33,78,0
3,125,1
19,125,0
43,105,1
57,117,1
22,95,1
52,69,1
68,88,0
71,106,0
10,119,0
42,122,0
60,123,1
61,127,1
13,89,1
17,117,0
28,123,0
21,67,0
24,113,0
27,104,0
45,118,1
58,124,0
25,103,1
36,62,1
40,4,1
5,110,1
22,94,0
26,88,1
20,70,1
31,69,0
44,72,1
47,84,1
58,89,1
73,63,1
37,60,0
49,13,1
63,62,0
67,30,0
78,33,0
84,21,1
4,108,0
16,96,0
27,71,1
38,109,1
39,95,0
46,108,0
73,118,1
108,108,1
109,93,0
8,110,1
10,99,0
35,127,1
40,114,1
54,115,1
56,121,0
58,111,0
72,119,0
97,94,0
60,92,0
69,78,1
74,76,0
21,109,1
23,60,0
27,125,1
6,124,1
10,80,1
19,84,0
20,58,0
28,92,1
46,59,1
47,5,1
66,80,1
67,39,1
79,41,1
59,48,0
64,94,1
86,27,0
44,126,1
55,111,1
79,120,0
95,124,1
70,73,0
73,39,1
43,58,1
48,85,0
59,89,0
48,55,1
53,39,1
65,65,0
73,24,1
75,61,0
50,58,0
55,54,0
62,51,0
66,86,1
44,62,1
53,62,1
63,38,0
70,87,0
54,38,1
70,23,1
71,68,0
53,53,0
86,28,1
42,62,1
76,36,0
77,49,0
10,122,0
27,122,0
31,120,0
38,102,0
82,121,0
92,119,1
42,112,0
51,115,0
87,126,1
45,104,0
59,110,0
62,115,0
69,127,1
76,121,0
99,120,1
75,25,1
76,60,0
77,27,0
78,56,0
90,34,1
80,89,1
82,104,1
106,105,1
110,102,1
96,102,0
98,92,1
107,105,1
4,3,1
18,7,0
83,104,1
89,94,1
91,85,1
94,87,1
94,103,0
99,91,0
17,18,1
18,5,1
22,6,0
24,2,0
