0,1,1,1,1,1
0,2,1,1,2,1
0,11,0,1,11,0
0,12,0,1,12,0
0,43,0,1,43,0
0,44,0,1,44,0
1,0,1,1,1,1
1,1,0,1,1,1
1,1,1,2,1,1
1,1,1,1,2,1
1,2,0,1,2,1
1,2,1,2,2,1
1,2,1,1,3,1
1,10,0,1,11,0
1,11,0,2,11,0
1,11,0,1,12,0
1,11,0,1,11,1
1,12,0,2,12,0
1,12,0,1,13,0
1,12,0,1,12,1
1,21,1,2,21,1
1,22,1,2,22,1
1,42,0,1,43,0
1,43,0,2,43,0
1,43,0,1,44,0
1,43,0,1,43,1
1,44,0,2,44,0
1,44,0,1,45,0
1,44,0,1,44,1
1,59,0,2,59,0
1,60,0,2,60,0
1,61,0,2,61,0
1,62,0,2,62,0
1,65,1,2,65,1
1,66,1,2,66,1
1,69,0,2,69,0
1,70,0,2,70,0
1,71,0,2,71,0
1,72,0,2,72,0
1,76,1,2,76,1
1,77,1,2,77,1
1,94,0,2,94,0
1,95,0,2,95,0
1,96,0,2,96,0
1,97,0,2,97,0
2,5,0,3,5,0
2,6,0,3,6,0
2,7,0,3,7,0
2,8,0,3,8,0
2,20,1,2,21,1
2,21,0,2,21,1
2,21,1,3,21,1
2,21,1,2,22,1
2,22,0,2,22,1
2,22,1,3,22,1
2,22,1,2,23,1
2,58,0,2,59,0
2,59,0,3,59,0
2,59,0,2,60,0
2,59,0,2,59,1
2,60,0,3,60,0
2,60,0,2,61,0
2,60,0,2,60,1
2,61,0,3,61,0
2,61,0,2,62,0
2,61,0,2,61,1
2,62,0,3,62,0
2,62,0,2,63,0
2,62,0,2,62,1
2,64,1,2,65,1
2,65,0,2,65,1
2,65,1,3,65,1
2,65,1,2,66,1
2,66,0,2,66,1
2,66,1,3,66,1
2,66,1,2,67,1
2,68,0,2,69,0
2,69,0,3,69,0
2,69,0,2,70,0
2,69,0,2,69,1
2,70,0,3,70,0
2,70,0,2,71,0
2,70,0,2,70,1
2,71,0,3,71,0
