41,35,1
44,24,1
48,41,0
18,53,0
32,59,1
1,27,0
12,31,0
13,40,0
28,44,0
30,53,0
32,31,1
22,39,0
27,51,0
28,35,1
24,23,1
26,52,1
0,4,1
2,30,1
5,12,1
7,7,1
7,16,0
8,30,1
9,49,0
16,47,1
17,14,1
11,62,1
25,46,1
34,60,1
36,56,1
1,33,0
3,43,0
3,58,0
7,52,1
9,59,0
17,4,0
29,18,0
59,45,0
61,42,1
2,55,0
2,62,0
3,36,0
5,39,1
28,55,1
7,62,0
11,41,0
34,26,1
49,30,1
62,24,1
45,8,0
50,14,1
52,44,1
56,18,1
7,19,0
9,10,0
17,19,0
19,31,0
30,28,1
27,45,1
29,63,0
30,38,0
30,41,1
31,51,1
43,61,0
13,63,0
36,43,0
37,58,1
19,42,0
25,48,1
31,52,0
46,17,0
47,5,0
51,18,1
60,33,0
55,7,1
60,27,1
25,63,1
39,47,0
51,63,1
57,47,0
6,17,1
11,22,0
16,11,1
20,18,1
0,43,1
7,11,0
15,20,1
15,28,1
5,53,0
10,53,0
11,34,1
2,27,1
10,8,0
44,2,0
45,8,1
51,9,0
60,9,1
6,48,1
7,63,1
11,55,0
17,40,1
42,51,1
44,45,0
52,30,1
61,59,0
7,27,0
16,15,0
23,34,1
34,32,1
40,52,0
49,30,0
54,10,1
60,49,0
